Rnd,Pick,Team,Player,First Year,Age Draft,G,GS,Tgt,WR Tgt Share,Rec,WR Rec Share,Ctch%,Yds,WR Yds Share,Y/R,TD,WR TD Share,1D,Lng,Y/Tgt,R/G,Y/G,DYAR,YAR,DVOA,VOA,EYds,DPI Pens,DPI Yds,Projected Tgt Share,Projected Tgt,Projected Rec Share,Projected Rec,Projected Yds Share,Projected Yds,Projected TD Share,Projected TD,Rec Pts First Season,Rec Pts/G First Season,Rec Pts Second Season,Rec Pts/G Second Season
1,3,CLE,B.Edwards,2005,22,10.0,7.0,59.0,0.2269230769230769,32.0,0.2222222222222222,54.2,512.0,0.2600304723209751,16.0,3.0,0.3333333333333333,22.0,80.0,8.7,3.2,51.2,72.0,80.0,3.3,4.9,474.0,0.0,0.0,0.4218543046357616,109.68211920529801,0.4250069793411502,61.20100502512564,0.4985980407444033,981.7395422257301,0.22222222222222213,1.9999999999999996,69.2,6.92,124.4,7.775
1,7,MIN,T.Williamson,2005,22,14.0,3.0,52.0,0.18055555555555555,24.0,0.15286624203821655,46.2,372.0,0.17174515235457066,15.5,2.0,0.15384615384615385,18.0,56.0,7.2,1.7,26.6,29.0,14.0,-5.4,-9.3,370.0,0.0,0.0,0.4895833333333334,141.0,0.4840764331210191,76.0,0.4833795013850416,1047.0,0.3076923076923077,4.0,49.2,3.5142857142857147,45.5,3.25
1,10,DET,M.Williams,2005,21,14.0,4.0,57.0,0.25675675675675674,29.0,0.2543859649122807,50.9,350.0,0.2407152682255846,12.1,1.0,0.1111111111111111,20.0,49.0,6.1,2.1,25.0,-16.0,-19.0,-16.3,-16.9,337.0,1.0,23.0,0.3321321321321321,73.73333333333333,0.381578947368421,43.49999999999999,0.2577083361706184,374.70792079207916,-0.4444444444444445,-4.0,41.0,2.9285714285714284,15.9,1.9875
1,21,JAX,M.Jones,2005,22,16.0,1.0,69.0,0.20658682634730535,36.0,0.1978021978021978,52.2,432.0,0.16737698566447112,12.0,5.0,0.2777777777777778,23.0,42.0,6.3,2.3,27.0,34.0,42.0,-6.4,-4.7,483.0,0.0,0.0,0.5898203592814372,197.0,0.5824175824175825,106.0,0.5637349864393646,1455.0,0.6111111111111112,11.0,73.2,4.575,88.3,6.307142857142857
1,22,BAL,M.Clayton,2005,23,14.0,10.0,87.0,0.3883928571428572,44.0,0.3384615384615385,50.6,471.0,0.30505181347150256,10.7,2.0,0.4,22.0,47.0,5.4,3.1,33.6,-70.0,-63.0,-23.0,-22.1,446.0,1.0,21.0,0.3883928571428572,87.0,0.3384615384615385,44.0,0.30505181347150256,471.0,0.4,2.0,59.1,4.221428571428572,123.9,7.74375
1,27,ATL,R.White,2005,23,16.0,8.0,69.0,0.3122171945701357,29.0,0.25217391304347825,42.0,446.0,0.28498402555910546,15.4,3.0,0.375,23.0,54.0,6.5,1.8,27.9,21.0,24.0,-8.8,-8.2,478.0,2.0,90.0,0.2675180784031801,59.12149532710279,0.35624786032180755,40.96850393700787,0.2647326943556976,414.30666666666673,0.4821428571428572,3.8571428571428568,62.6,3.9125,50.6,3.1625
2,35,PHI,R.Brown,2005,24,16.0,11.0,79.0,0.286231884057971,43.0,0.3115942028985507,54.4,571.0,0.3013192612137203,13.3,4.0,0.3636363636363637,24.0,56.0,7.2,2.7,35.7,46.0,29.0,-5.3,-8.1,583.0,2.0,26.0,0.16211840888066606,44.744680851063826,0.15572001233425842,21.489361702127663,0.21734604316742254,411.8707518022658,0.2727272727272727,3.0,81.1,5.06875,129.6,8.1
2,39,CHI,M.Bradley,2005,23,7.0,4.0,36.0,0.14285714285714285,18.0,0.14285714285714285,50.0,230.0,0.14631043256997456,12.8,0.0,0.0,9.0,54.0,6.4,2.6,32.9,-21.0,-26.0,-20.3,-21.9,195.0,2.0,31.0,0.14285714285714285,36.0,0.14285714285714285,18.0,0.14631043256997456,230.0,0.0,0.0,23.0,3.2857142857142856,46.2,4.62
2,55,BUF,R.Parrish,2005,23,10.0,1.0,25.0,0.08012820512820512,15.0,0.08333333333333333,60.0,148.0,0.06687754179846363,9.9,1.0,0.07142857142857142,7.0,28.0,5.9,1.5,14.8,-1.0,-6.0,-13.0,-15.8,151.0,1.0,23.0,0.4248405103668261,132.55023923444978,0.4696398261615653,84.53516870908173,0.3421322302009487,757.1386254346994,0.2571428571428571,3.6,20.8,2.08,44.0,2.75
3,68,TEN,C.Roby,2005,22,13.0,6.0,43.0,0.15357142857142858,21.0,0.14482758620689656,48.8,289.0,0.15914096916299558,13.8,1.0,0.1111111111111111,12.0,32.0,6.7,1.6,22.2,-23.0,-13.0,-19.7,-16.6,233.0,1.0,3.0,-0.012218045112781932,-3.4210526315789416,-0.02236719478098789,-3.2432432432432443,-0.04421124747690541,-80.28762541806023,-0.0888888888888889,-0.8000000000000002,34.9,2.6846153846153844,2.8,0.2333333333333333
